# MRR稳态区间划分结果
# 最小行程长度: 10.0 mm
# 总区间数: 596
#================================================================================
# 区间	起始行号	结束行号	起始行程(mm)	结束行程(mm)	长度(mm)	MRR(mm³/s)
1	N140	N160	0.000	957.939	957.939	0.000000
2	N550	N8750	970.828	1371.095	400.267	1197.600000
3	N8770	N3400	1371.098	1595.235	224.137	1197.600000
4	N3790	N5440	1610.927	1693.508	82.581	1197.600000
5	N5630	N5950	1702.202	1718.702	16.500	808.380000
6	N6040	N6310	1722.702	1735.448	12.746	0.000000
7	N6430.7	N6580.1	1742.985	1788.762	45.777	0.000000
8	N6600.1	N8070	1789.262	1862.035	72.773	1197.600000
9	N8490	N1760	1879.567	2038.537	158.970	1197.600000
10	N2140	N2550	2054.335	2075.021	20.685	1197.600000
11	N2570.1	N3000.1	2075.521	2103.206	27.685	0.000000
12	N3040	N3320	2104.352	2116.792	12.440	1197.600000
13	N3690	N5830	2132.428	2239.749	107.321	1197.600000
14	N5850	N6530	2239.902	2274.261	34.358	1197.600000
15	N7090	N8510	2297.928	2368.965	71.037	1197.600000
16	N8520.5	N8940.1	2369.364	2481.414	112.049	0.000000
17	N8980	N9510	2482.439	2508.193	25.753	1197.600000
18	N9530.3	N9770	2508.882	2520.227	11.345	0.000000
19	N9820	N1830	2522.017	2617.278	95.261	1197.600000
20	N2150	N2460	2630.783	2646.395	15.611	1197.600000
21	N2490.4	N2800	2647.583	2796.515	148.932	0.000000
22	N2820	N3190.1	2797.015	2814.379	17.364	1197.600000
23	N3300	N3670	2819.453	2845.361	25.908	0.000000
24	N4070	N4380.1	2862.246	2884.723	22.477	0.000000
25	N4470	N4770	2888.530	2929.929	41.399	0.000000
26	N4830	N6580	2932.429	3019.804	87.376	1197.600000
27	N6880	N7200	3032.696	3048.643	15.947	1197.600000
28	N7210.5	N7650	3049.043	3068.088	19.045	0.000000
29	N7660	N7930	3068.088	3079.244	11.156	1197.600000
30	N8240	N9770	3093.168	3170.109	76.941	1197.600000
31	N9900	N350.1	3175.187	3201.393	26.205	0.000000
32	N370	N1240	3201.892	3243.753	41.860	1197.600000
33	N1580	N1890	3258.639	3274.423	15.783	1197.600000
34	N2120	N2390.2	3284.779	3297.976	13.198	1197.600000
35	N2470	N2780	3301.665	3321.347	19.682	0.000000
36	N3480	N3830	3352.901	3382.080	29.178	0.000000
37	N4350	N4620	3403.564	3469.158	65.594	0.000000
38	N4810	N5480.1	3477.589	3510.541	32.952	1197.600000
39	N5490.3	N5850.1	3511.141	3533.651	22.510	0.000000
40	N5870	N6510	3534.151	3562.970	28.819	1197.600000
41	N6530.1	N7010.1	3563.470	3597.366	33.896	0.000000
42	N7030.1	N7760.1	3597.865	3631.125	33.260	1197.600000
43	N7770.2	N8220	3631.625	3652.357	20.733	0.000000
44	N8240	N9080	3652.858	3690.384	37.526	1197.600000
45	N9100.3	N9480	3691.083	3712.727	21.644	0.000000
46	N9500	N510.3	3713.227	3755.539	42.312	1197.600000
47	N590	N940	3758.755	3778.215	19.459	0.000000
48	N960	N1960.3	3778.715	3825.525	46.811	1197.600000
49	N1970.5	N2340.1	3826.125	3848.582	22.457	0.000000
50	N2360.1	N3050.1	3849.082	3879.819	30.737	1197.600000
51	N3580	N3890	3903.440	3930.788	27.349	0.000000
52	N3920	N4680	3931.489	3967.089	35.601	1197.600000
53	N4700.5	N5070.1	3967.988	3985.358	17.369	0.000000
54	N5090.1	N6000	3985.857	4026.158	40.301	1197.600000
55	N6020.5	N6380.1	4027.058	4050.181	23.123	0.000000
56	N6400	N7520	4050.681	4101.860	51.179	1197.600000
57	N7960	N9360.1	4111.902	4175.391	63.489	1197.600000
58	N9370.1	N9780	4175.790	4196.897	21.107	0.000000
59	N9800	N1530	4197.397	4273.703	76.306	1197.600000
60	N1540.4	N1970	4274.003	4295.205	21.203	0.000000
61	N1990	N3900.2	4295.706	4385.964	90.258	1197.600000
62	N3910.5	N4300.1	4386.665	4408.104	21.439	0.000000
63	N4320	N4760	4408.604	4426.890	18.286	1197.600000
64	N5320	N6490.2	4453.974	4510.680	56.706	1197.600000
65	N6500.1	N6900	4510.981	4534.306	23.326	0.000000
66	N6940	N8000	4534.924	4585.196	50.272	1197.600000
67	N8150	N8510	4591.811	4619.735	27.924	0.000000
68	N8540	N9480	4620.735	4666.589	45.854	1197.600000
69	N9730	N200	4676.369	4698.713	22.344	0.000000
70	N290	N1140.1	4702.060	4743.209	41.149	1197.600000
71	N1230	N1600	4747.347	4772.054	24.707	0.000000
72	N1620	N2360	4772.554	4808.555	36.001	1197.600000
73	N2390.1	N2840	4809.184	4839.560	30.375	0.000000
74	N2860	N3540	4840.060	4872.835	32.775	1197.600000
75	N3620	N3990	4876.134	4899.983	23.849	0.000000
76	N4010	N4680.2	4900.483	4931.948	31.464	1197.600000
