# MRR稳态区间划分结果
# 最小行程长度: 10.0 mm
# 总区间数: 480
#================================================================================
# 区间	起始行号	结束行号	起始行程(mm)	结束行程(mm)	长度(mm)	MRR(mm³/s)
1	N0018	N0028	0.000	1015.511	1015.511	0.000000
2	N0032	N0032	1023.520	1121.520	98.000	0.000000
3	N0036	N0036	1129.528	1227.528	98.000	0.000000
4	N0040	N0040	1235.537	1333.537	98.000	0.000000
5	N0042.10	N0072	1337.541	1452.631	115.089	0.000000
6	N0078.1	N0084.17	1456.243	1507.418	51.175	200.001333
7	N0092	N0110	1523.012	1608.808	85.797	0.000000
8	N0112.3	N0112.9	1612.815	1626.840	14.025	200.001333
9	N0114	N0126	1626.840	1637.077	10.237	0.000000
10	N0130	N0134	1639.869	1658.347	18.478	0.000000
11	N0136.8	N0148	1673.599	1758.821	85.222	0.000000
12	N0156	N0156	1801.336	1821.180	19.844	0.000000
13	N0162.1	N0162.7	1830.729	1843.398	12.670	200.001333
14	N0164	N0164	1843.398	1856.513	13.115	0.000000
15	N0166.4	N0172	1863.038	1883.670	20.632	0.000000
16	N0174.3	N0176.3	1886.192	1904.347	18.155	200.001333
17	N0178	N0180	1904.347	1915.130	10.783	0.000000
18	N0182.1	N0182.10	1915.130	1927.503	12.373	200.001333
19	N0188	N0188	1931.698	1951.542	19.844	0.000000
20	N0198	N0198	2002.746	2022.590	19.844	0.000000
21	N0202.3	N0210	2043.136	2151.966	108.830	0.000000
22	N0216.18	N0218.10	2216.614	2232.915	16.301	200.001333
23	N0230.6	N0238	2322.068	2375.171	53.103	0.000000
24	N0242	N0244.1	2378.155	2452.321	74.166	0.000000
25	N0246	N0246	2455.138	2529.138	74.000	0.000000
26	N0250	N0250	2532.122	2606.122	74.000	0.000000
27	N0254	N0270	2609.105	2854.559	245.454	0.000000
28	N0274	N0274	2862.568	2960.568	98.000	0.000000
29	N0278	N0278	2968.576	3066.576	98.000	0.000000
30	N0282	N0282	3074.585	3172.585	98.000	0.000000
31	N0284.10	N0314	3176.589	3293.178	116.589	0.000000
32	N0320.1	N0326.17	3296.791	3347.966	51.175	199.998933
33	N0334	N0352	3363.559	3449.356	85.797	0.000000
34	N0354.3	N0354.7	3453.363	3463.381	10.018	199.998933
35	N0356	N0368	3467.388	3477.625	10.237	0.000000
36	N0372	N0376	3480.417	3498.895	18.478	0.000000
37	N0378.8	N0390	3514.147	3599.368	85.222	0.000000
38	N0398	N0398	3641.884	3661.728	19.844	0.000000
39	N0404.1	N0404.7	3671.276	3683.946	12.670	199.998933
40	N0406	N0406	3683.946	3697.061	13.115	0.000000
41	N0408.4	N0414	3703.586	3724.218	20.632	0.000000
42	N0416.8	N0418.3	3733.044	3744.895	11.851	199.998933
