# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0		0		0.0		N0018		-59.9970		-49.0000		-459.0700		411.594398		5.144930		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		0.0		N0020		-59.9970		-49.0000		20.1000		479.170000		7.986167		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		0.0		N0022		-59.9970		-49.0000		2.2500		17.850000		0.297500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.750005		4		4000.0		N0024		-59.9970		-49.0000		-0.7500		3.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.750005		4		4000.0		N0026		-54.1000		-49.0000		-0.7500		5.897000		0.073712		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.750005		4		4000.0		N0028		-54.1000		49.0000		-0.7500		98.000000		1.225000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.750005		4		4000.0		N0030.1		-54.0810		49.4440		-0.7500		0.444406		0.006666		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.2		-54.0230		49.8860		-0.7500		0.445789		0.006687		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.3		-53.9260		50.3200		-0.7500		0.444708		0.006671		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.4		-53.7920		50.7440		-0.7500		0.444671		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.5		-53.6220		51.1550		-0.7500		0.444771		0.006672		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.6		-53.4170		51.5500		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.7		-53.1780		51.9250		-0.7500		0.444686		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.8		-52.9070		52.2780		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.9		-52.6060		52.6060		-0.7500		0.445180		0.006678		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.10		-52.2780		52.9070		-0.7500		0.445180		0.006678		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.11		-51.9250		53.1780		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.12		-51.5500		53.4170		-0.7500		0.444686		0.006670		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.13		-51.1550		53.6220		-0.7500		0.445028		0.006675		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
0.750005		4		4000.0		N0030.14		-50.7440		53.7920		-0.7500		0.444771		0.006672		3.000020		200.001333		6000.0		1.000000		200.001333		125664.543902
