# MRR稳态区间划分结果
# 最小行程长度: 10.0 mm
# 总区间数: 323
#================================================================================
# 区间	起始行号	结束行号	起始行程(mm)	结束行程(mm)	长度(mm)	MRR(mm³/s)
1	N0020	N0080	0.000	907.922	907.922	0.000000
2	N0100	N0100	908.865	988.865	80.000	0.000000
3	N0110.18	N0120	989.755	1069.807	80.052	0.000000
4	N0140	N0140	1070.750	1150.750	80.000	0.000000
5	N0150.18	N0720	1151.640	2494.448	1342.808	0.000000
6	N0740	N0740	2495.390	2575.390	80.000	0.000000
7	N0750.18	N0760	2576.281	2656.333	80.052	0.000000
8	N0780	N0780	2657.275	2737.275	80.000	0.000000
9	N0790.18	N1360	2738.166	4082.974	1344.808	0.000000
10	N1380	N1380	4083.916	4163.916	80.000	0.000000
11	N1390.18	N1400	4164.807	4244.859	80.052	0.000000
12	N1420	N1420	4245.801	4325.801	80.000	0.000000
13	N1430.18	N1990	4326.692	5643.526	1316.834	0.000000
14	N2010	N2070	5656.442	5720.603	64.161	0.000000
15	N2090	N2160	5746.177	5824.188	78.011	0.000000
16	N2180	N2240	5868.207	5935.476	67.269	0.000000
17	N2260	N2320	5948.396	6012.559	64.163	0.000000
18	N2340	N2410	6038.138	6116.153	78.015	0.000000
19	N2430	N2500	6160.179	6229.826	69.647	0.000000
20	N2520	N2580	6242.751	6306.923	64.172	0.000000
21	N2600	N2660	6332.507	6421.818	89.311	0.000000
22	N2680	N2750	6465.854	6535.499	69.645	0.000000
23	N2770	N2830	6548.421	6612.590	64.169	0.000000
24	N2850	N2910	6638.171	6727.479	89.308	0.000000
25	N2930	N3150	6771.509	6889.308	117.799	0.000000
26	N3170	N3230	6898.357	6958.705	60.349	0.000000
27	N3250	N3310	6979.633	7060.612	80.979	0.000000
28	N3330	N3400	7097.010	7193.985	96.975	0.000000
29	N3420	N3490	7258.134	7322.487	64.352	0.000000
30	N3510	N3570	7331.525	7391.868	60.343	0.000000
31	N3590	N3650	7412.790	7493.758	80.968	0.000000
32	N3670	N3740	7530.147	7627.156	97.009	0.000000
33	N3760	N3830	7691.501	7756.454	64.954	0.000000
34	N3850	N3910	7765.487	7825.829	60.342	0.000000
35	N3930	N3990	7846.749	7927.709	80.960	0.000000
36	N4010	N4080	7964.096	8060.858	96.762	0.000000
37	N4100	N4170	8125.055	8190.052	64.997	0.000000
38	N4190	N4250	8199.095	8259.443	60.348	0.000000
39	N4270	N4330	8280.369	8361.339	80.970	0.000000
40	N4350	N4420	8397.734	8494.495	96.761	0.000000
41	N4440	N4840	8558.498	8806.948	248.450	0.000000
42	N4860	N4920	8815.443	8875.007	59.564	0.000000
43	N4940	N5000	8892.786	8969.358	76.571	0.000000
44	N5020	N5090	9001.272	9094.761	93.489	0.000000
45	N5110	N5180	9155.202	9221.285	66.083	0.000000
46	N5200	N5260	9229.775	9289.336	59.561	0.000000
47	N5280	N5340	9307.113	9383.681	76.568	0.000000
48	N5360	N5430	9415.593	9509.131	93.538	0.000000
49	N5450	N5520	9569.193	9635.093	65.900	0.000000
50	N5540	N5600	9643.576	9703.134	59.558	0.000000
51	N5620	N5680	9720.906	9797.467	76.560	0.000000
52	N5700	N5770	9829.373	9922.562	93.189	0.000000
53	N5790	N5860	9982.516	10048.464	65.948	0.000000
54	N5880	N5940	10056.954	10116.513	59.559	0.000000
55	N5960	N6020	10134.289	10210.851	76.562	0.000000
56	N6040	N6110	10242.761	10336.078	93.317	0.000000
57	N6130	N6330	10396.519	10527.841	131.323	0.000000
58	N6350	N6410	10543.106	10617.155	74.049	0.000000
59	N6430	N6500	10645.718	10735.140	89.422	0.000000
60	N6520	N6590	10785.341	10855.797	70.456	0.000000
61	N6610	N6670	10871.040	10945.058	74.018	0.000000
62	N6690	N6760	10973.593	11062.971	89.378	0.000000
63	N6780	N6850	11113.117	11183.616	70.499	0.000000
64	N6870	N6930	11198.853	11272.853	74.000	0.000000
65	N6950	N7020	11301.382	11390.737	89.355	0.000000
66	N7040	N7110	11440.869	11511.342	70.474	0.000000
67	N7130	N7190	11526.601	11600.633	74.032	0.000000
68	N7210	N7280	11629.188	11718.589	89.401	0.000000
69	N7300	N7500	11768.775	11884.888	116.113	0.000000
70	N7520	N7580	11897.966	11970.387	72.421	0.000000
71	N7600	N7670	11996.165	12082.519	86.355	0.000000
72	N7690	N7760	12126.913	12204.236	77.322	0.000000
73	N7780	N7840	12217.314	12289.734	72.420	0.000000
74	N7860	N7930	12315.511	12401.864	86.353	0.000000
75	N7950	N8020	12446.258	12523.580	77.322	0.000000
76	N8040	N8100	12536.659	12609.079	72.420	0.000000
77	N8120	N8180	12634.856	12732.381	97.525	0.000000
78	N8200	N8270	12776.774	12854.096	77.322	0.000000
79	N8290	N8350	12867.175	12939.596	72.420	0.000000
80	N8370	N8430	12965.373	13062.870	97.497	0.000000
81	N8450	N8650	13107.265	13226.879	119.614	0.000000
82	N8680	N8740	13237.956	13309.260	71.304	0.000000
83	N8770	N8830	13332.564	13427.293	94.730	0.000000
84	N8860	N8930	13467.392	13574.929	107.538	0.000000
85	N8970	N9040	13640.786	13713.502	72.716	0.000000
86	N9060	N9120	13724.584	13795.859	71.275	0.000000
87	N9140	N9200	13819.168	13913.839	94.672	0.000000
88	N9220	N9290	13953.946	14060.903	106.957	0.000000
89	N9310	N9380	14125.379	14197.956	72.577	0.000000
90	N9400	N9460	14209.105	14280.481	71.376	0.000000
91	N9480	N9540	14303.871	14398.739	94.868	0.000000
92	N9560	N9630	14438.966	14546.387	107.421	0.000000
93	N9650	N9720	14611.416	14683.389	71.973	0.000000
94	N9740	N9800	14694.527	14765.905	71.378	0.000000
95	N9820	N9880	14789.282	14884.201	94.920	0.000000
96	N9900	N9970	14924.408	15032.057	107.648	0.000000
97	N0230.60	N0300	16056.166	16147.360	91.194	0.000000
98	N0320	N0380	16156.515	16227.039	70.523	0.000000
99	N0410	N0470	16248.112	16339.540	91.428	0.000000
100	N0500	N0570	16376.225	16481.278	105.053	0.000000
101	N0600	N0670	16546.197	16620.556	74.359	0.000000
102	N0690	N0750	16629.727	16700.306	70.579	0.000000
103	N0780	N0840	16721.413	16813.001	91.588	0.000000
104	N0870	N0940	16849.759	16954.908	105.149	0.000000
105	N0970	N1040	17020.050	17095.043	74.993	0.000000
106	N1070	N1130	17104.217	17174.858	70.641	0.000000
107	N1160	N1220	17195.960	17287.550	91.589	0.000000
108	N1250	N1320	17324.277	17428.852	104.574	0.000000
109	N1350	N1420	17493.116	17568.055	74.939	0.000000
110	N1440	N1500	17577.313	17647.957	70.644	0.000000
111	N1520	N1580	17669.128	17760.613	91.485	0.000000
112	N1600	N1670	17797.362	17904.588	107.226	0.000000
113	N2020.23	N2100	18958.170	19048.552	90.382	0.000000
114	N2120	N2180	19055.995	19127.191	71.196	0.000000
115	N2210	N2270	19146.187	19235.565	89.378	0.000000
116	N2300	N2370	19269.348	19375.274	105.925	0.000000
117	N2400	N2470	19438.752	19514.535	75.783	0.000000
118	N2490	N2550	19523.916	19594.865	70.949	0.000000
119	N2570	N2630	19613.687	19703.172	89.485	0.000000
120	N2650	N2720	19736.869	19843.083	106.213	0.000000
121	N2770	N2840	19906.850	19982.486	75.635	0.000000
122	N2860	N2920	19991.947	20062.890	70.943	0.000000
123	N2940	N3010	20081.769	20175.405	93.636	0.000000
124	N3030	N3100	20204.771	20310.526	105.755	0.000000
125	N3140	N3210	20374.274	20449.899	75.625	0.000000
126	N3240	N3300	20459.409	20530.585	71.176	0.000000
127	N3330	N3390	20549.560	20638.895	89.334	0.000000
128	N3420	N3490	20672.665	20778.597	105.932	0.000000
129	N4060.7	N4130	21864.357	21973.942	109.585	0.000000
130	N4150	N4210	21990.634	22078.204	87.569	0.000000
131	N4230	N4300	22109.022	22214.242	105.220	0.000000
132	N4340	N4410	22273.719	22347.326	73.607	0.000000
133	N4430	N4490	22364.127	22451.876	87.749	0.000000
134	N4520	N4590	22482.803	22587.508	104.704	0.000000
135	N4620	N4690	22646.681	22720.422	73.741	0.000000
136	N4720	N4780	22737.275	22824.918	87.643	0.000000
137	N4810	N4880	22855.934	22961.014	105.080	0.000000
138	N4910	N4980	23020.183	23093.843	73.661	0.000000
139	N5000	N5060	23110.716	23198.278	87.562	0.000000
140	N5080	N5150	23229.218	23334.365	105.147	0.000000
141	N5740.2	N5820	24444.697	24534.879	90.182	0.000000
142	N5840	N5900	24548.069	24634.228	86.159	0.000000
143	N5930	N6000	24662.389	24764.383	101.995	0.000000
144	N6030	N6110	24815.941	24899.520	83.580	0.000000
145	N6130	N6190	24912.792	24999.093	86.301	0.000000
146	N6220	N6290	25027.356	25129.530	102.174	0.000000
147	N6320	N6400	25180.826	25265.267	84.441	0.000000
148	N6420	N6480	25278.044	25364.221	86.178	0.000000
149	N6510	N6580	25392.422	25494.462	102.040	0.000000
150	N6610	N6690	25545.820	25630.087	84.266	0.000000
151	N6710	N6770	25642.965	25729.150	86.185	0.000000
152	N6800	N6870	25757.348	25859.334	101.986	0.000000
153	N7570.6	N7640	26992.057	27073.510	81.454	0.000000
154	N7670	N7730	27092.158	27155.585	63.428	0.000000
155	N7750	N7810	27171.912	27235.375	63.463	0.000000
156	N7840	N7900	27253.734	27317.397	63.663	0.000000
157	N7930	N7990	27333.635	27397.299	63.663	0.000000
158	N8020	N8080	27415.782	27479.208	63.426	0.000000
159	N8100	N8160	27495.533	27558.973	63.440	0.000000
160	N8190	N8250	27577.536	27640.965	63.429	0.000000
161	N8870.18	N8880	28592.292	28602.571	10.279	0.000000
162	N8970.24	N8980	28722.514	28732.744	10.230	0.000000
163	N9160.28	N9240	28940.015	29016.929	76.914	0.000000
164	N9270	N9330	29027.439	29099.475	72.036	0.000000
165	N9350	N9410	29111.401	29183.565	72.164	0.000000
166	N9440	N9500	29194.245	29266.313	72.068	0.000000
167	N9520	N9580	29278.277	29350.374	72.097	0.000000
168	N9610	N9670	29361.369	29433.205	71.837	0.000000
169	N9690	N9750	29445.127	29517.314	72.187	0.000000
170	N9780	N9840	29528.117	29599.943	71.826	0.000000
171	N0840.8	N0910	30965.622	31038.237	72.614	0.000000
172	N0930	N1000	31047.136	31130.886	83.751	0.000000
173	N1020	N1190	31157.049	31347.815	190.766	0.000000
174	N1240	N1310	31381.515	31503.004	121.489	0.000000
175	N1330	N1400	31511.949	31595.821	83.872	0.000000
176	N1420	N1490	31622.102	31772.744	150.642	0.000000
177	N1510	N1580	31781.755	31865.720	83.965	0.000000
178	N1610	N1680	31892.126	32042.793	150.667	0.000000
179	N1700	N1770	32051.805	32135.768	83.964	0.000000
180	N1800	N1880	32162.174	32221.074	58.900	0.000000
181	N1940	N2020	32254.917	32352.104	97.186	0.000000
182	N2080	N2160	32386.002	32536.359	150.357	0.000000
183	N2960.16	N3040	33520.128	33638.783	118.654	0.000000
184	N3060	N3120	33647.732	33739.866	92.134	0.000000
185	N3150	N3300	33760.999	33917.144	156.146	0.000000
186	N3340	N3400	33943.577	34014.849	71.272	0.000000
187	N3420	N3480	34023.809	34116.023	92.214	0.000000
188	N3510	N3570	34137.166	34248.766	111.599	0.000000
189	N3600	N3660	34257.696	34350.028	92.332	0.000000
190	N3690	N3840	34371.151	34527.877	156.726	0.000000
191	N3890	N3950	34554.326	34625.679	71.354	0.000000
192	N3980	N4040	34634.599	34726.910	92.312	0.000000
193	N4070	N4220	34748.010	34904.694	156.684	0.000000
194	N4280	N4340	34931.046	35091.094	160.048	0.000000
195	N4880.1	N4880.1	35818.719	35834.842	16.123	845.054167
196	N4930.1	N4930.1	35891.965	35908.071	16.106	815.822583
197	N4980.1	N4980.1	35965.182	35981.279	16.097	814.480333
198	N5020.1	N5020.1	36038.395	36054.514	16.119	814.431061
199	N5030.12	N5110	36067.963	36207.056	139.093	0.000000
200	N5160	N5220	36227.947	36297.505	69.558	0.000000
201	N5240	N5300	36315.148	36384.657	69.509	0.000000
202	N5350	N5410	36405.566	36475.113	69.547	0.000000
203	N5440	N5500	36492.748	36562.251	69.503	0.000000
204	N5570	N5630	36583.145	36652.655	69.510	0.000000
205	N5660	N5720	36670.277	36739.857	69.580	0.000000
206	N5770	N5830	36760.751	36830.334	69.583	0.000000
207	N6280.1	N6280.1	37539.890	37553.177	13.288	815.272819
208	N6390.1	N6390.1	37685.060	37698.346	13.286	851.890000
209	N6470.20	N6540	37802.548	37881.211	78.663	0.000000
210	N6570	N6630	37897.619	37973.051	75.432	0.000000
211	N6650	N6710	37987.820	38063.415	75.596	0.000000
212	N6750	N6810	38079.681	38155.260	75.579	0.000000
213	N6840	N6900	38170.071	38245.654	75.583	0.000000
214	N6970	N7030	38261.944	38337.517	75.573	0.000000
215	N7060	N7130	38352.382	38429.289	76.908	0.000000
216	N7160	N7220	38444.265	38519.583	75.318	0.000000
217	N8040.13	N8110	39496.086	39577.971	81.885	0.000000
218	N8160	N8220	39589.691	39670.988	81.297	0.000000
219	N8240	N8300	39683.373	39764.744	81.371	0.000000
220	N8340	N8400	39776.529	39857.655	81.126	0.000000
221	N8420	N8480	39870.062	39951.206	81.144	0.000000
222	N8510	N8570	39963.262	40044.311	81.049	0.000000
223	N8600	N8660	40056.776	40137.963	81.187	0.000000
224	N8700	N8760	40149.934	40231.089	81.155	0.000000
225	N9490.17	N9570	41213.216	41295.027	81.811	0.000000
226	N9600	N9670	41305.095	41401.794	96.699	0.000000
227	N9700	N9960	41431.626	41686.106	254.480	0.000000
228	N0020	N0090	41724.330	41800.201	75.871	0.000000
229	N0110	N0180	41810.321	41907.043	96.722	0.000000
230	N0210	N0280	41936.657	42013.246	76.588	0.000000
231	N0310	N0380	42016.872	42110.864	93.992	0.000000
232	N0420	N0490	42148.755	42224.726	75.971	0.000000
233	N0510	N0580	42234.761	42331.210	96.449	0.000000
234	N0610	N0870	42360.858	42613.932	253.074	0.000000
235	N0920	N0990	42652.096	42728.065	75.969	0.000000
236	N1020	N1090	42738.238	42834.678	96.440	0.000000
237	N1120	N1380	42864.172	43119.047	254.875	0.000000
238	N2040.2	N2320	43792.731	44097.839	305.109	0.000000
239	N2360	N2430	44128.132	44208.876	80.744	0.000000
240	N2450	N2520	44219.235	44314.380	95.145	0.000000
241	N2550	N2730	44338.085	44515.871	177.786	0.000000
242	N2770	N2840	44546.189	44626.897	80.708	0.000000
243	N2860	N2930	44637.276	44732.402	95.127	0.000000
244	N2960	N3230	44756.105	45015.955	259.850	0.000000
