# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0		0		0.0		N0020		349.7650		-10.2050		0.0000		459.070000		0.000000		0.000000		0.000000		5000.0		1.200000		0.000000		0.000000
0		0		0.0		N0040		-47.2780		0.0000		0.0000		397.174125		4.964677		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		0.0		N0050		-47.2780		0.0000		2.0000		2.000000		0.033333		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		7.5		6500.0		N0060		-47.2780		0.0000		-1.0000		3.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0070		-40.6000		0.0000		-1.0000		6.678000		0.083475		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.5		6500.0		N0080		-40.6000		40.0000		-1.0000		40.000000		0.500000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		3.59734		6500.0		N0090.1		-40.5980		40.0520		-1.0000		0.052038		0.000480		3.597329		389.710664		6000.0		1.000000		389.710664		244862.431934
0.999997		3.37342		6500.0		N0090.2		-40.5910		40.1040		-1.0000		0.052469		0.000484		3.373410		365.452737		6000.0		1.000000		365.452737		229620.726741
0.999997		2.95556		6500.0		N0090.3		-40.5800		40.1550		-1.0000		0.052173		0.000482		2.955551		320.184706		6000.0		1.000000		320.184706		201177.984101
0.999997		4.76593		6500.0		N0090.4		-40.5640		40.2050		-1.0000		0.052498		0.000485		4.765916		516.307534		6000.0		1.000000		516.307534		324405.591417
0.999997		0		6500.0		N0090.5		-40.5440		40.2540		-1.0000		0.052924		0.000489		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		0		6500.0		N0090.6		-40.5200		40.3000		-1.0000		0.051884		0.000479		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999997		3.16525		6500.0		N0090.7		-40.4910		40.3440		-1.0000		0.052697		0.000486		3.165241		342.901055		6000.0		1.000000		342.901055		215451.086825
0.999997		2.94819		6500.0		N0090.8		-40.4600		40.3860		-1.0000		0.052202		0.000482		2.948181		319.386292		6000.0		1.000000		319.386292		200676.325619
