# MRR稳态区间划分结果
# 最小行程长度: 10.0 mm
# 总区间数: 19
#================================================================================
# 区间	起始行号	结束行号	起始行程(mm)	结束行程(mm)	长度(mm)	MRR(mm³/s)
1	N0	N0	0.000	892.755	892.755	0.000000
2	N0	N0	903.437	914.672	11.236	0.000000
3	N0	N0	917.268	965.040	47.772	0.000000
4	N0	N0	975.721	986.957	11.236	0.000000
5	N0	N0	989.552	1038.324	48.772	0.000000
6	N0	N0	1049.006	1060.242	11.236	0.000000
7	N0	N0	1062.837	1112.609	49.772	0.000000
8	N0	N0	1123.291	1134.526	11.236	0.000000
9	N0	N0	1137.122	1187.894	50.772	0.000000
10	N0	N0	1198.575	1209.811	11.236	0.000000
11	N0	N0	1212.406	1264.178	51.772	0.000000
12	N0	N0	1274.860	1286.096	11.236	0.000000
13	N0	N0	1288.691	1386.451	97.760	0.000000
14	N0	N0	1435.931	1608.710	172.779	0.000000
15	N0	N0	1632.876	1717.668	84.792	0.000000
16	N0	N0	1794.856	1861.304	66.447	0.000000
17	N0	N0	1938.509	2012.964	74.455	0.000000
18	N0	N0	2090.130	2156.535	66.405	0.000000
19	N0	N0	2233.764	2276.789	43.025	0.000000
