# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0		0		0.0		N0		349.7650		-10.2050		0.0000		459.070000		0.000000		0.000000		0.000000		5000.0		1.200000		0.000000		0.000000
0		0		0.0		N0		-57.2120		13.8100		0.0000		407.684926		5.096062		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		0.0		N0		-57.2120		13.8100		9.0000		9.000000		0.150000		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		0.0		N0		-57.2120		13.8100		-8.0000		17.000000		0.283333		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
8		7.87857		6500.0		N0		-57.4430		13.5550		-8.0000		0.344073		0.003176		63.028560		6828.094000		10000.0		0.600000		4096.856400		4290217.989684
8		7.25895		6500.0		N0		-57.6470		13.2800		-8.0000		0.342405		0.003161		58.071600		6291.090000		10000.0		0.600000		3774.654000		3952808.425414
8		7.04859		6500.0		N0		-57.8240		12.9850		-8.0000		0.344026		0.003176		56.388720		6108.778000		10000.0		0.600000		3665.266800		3838258.417442
8		7.39205		6500.0		N0		-57.9710		12.6740		-8.0000		0.343991		0.003175		59.136400		6406.443333		10000.0		0.600000		3843.866000		4025287.062328
8		7.14253		6500.0		N0		-58.0860		12.3510		-8.0000		0.342861		0.003165		57.140240		6190.192667		10000.0		0.600000		3714.115600		3889412.761181
8		7.05469		6500.0		N0		-58.1700		12.0180		-8.0000		0.343431		0.003170		56.437520		6114.064667		10000.0		0.600000		3668.438800		3841580.128075
8		7.42892		6500.0		N0		-58.2200		11.6780		-8.0000		0.343657		0.003172		59.431360		6438.397333		10000.0		0.600000		3863.038400		4045364.352658
8		7.53536		6500.0		N0		-58.2370		11.3350		-8.0000		0.343421		0.003170		60.282880		6530.645333		10000.0		0.600000		3918.387200		4103325.480480
8		7.5		6500.0		N0		-58.2370		16.8350		-8.0000		5.500000		0.068750		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
8		3.54844		6500.0		N0		-58.2340		16.9090		-8.0000		0.074061		0.000684		28.387520		3075.314667		10000.0		0.600000		1845.188800		1932277.192855
8		4.55589		6500.0		N0		-58.2240		16.9830		-8.0000		0.074673		0.000689		36.447120		3948.438000		10000.0		0.600000		2369.062800		2480876.762791
8		4.32776		6500.0		N0		-58.2080		17.0550		-8.0000		0.073756		0.000681		34.622080		3750.725333		10000.0		0.600000		2250.435200		2356650.230567
8		2.77679		6500.0		N0		-58.1860		17.1260		-8.0000		0.074330		0.000686		22.214320		2406.551333		10000.0		0.600000		1443.930800		1512080.797857
8		5.9898		6500.0		N0		-58.1570		17.1940		-8.0000		0.073926		0.000682		47.918400		5191.160000		10000.0		0.600000		3114.696000		3261702.023922
8		4.26708		6500.0		N0		-58.1230		17.2600		-8.0000		0.074243		0.000685		34.136640		3698.136000		10000.0		0.600000		2218.881600		2323607.377915
